Project ID,Project Name,Project Type,Location,Start Date,End Date,Project Status,Priority,Budget,Bug_Density,Scope_Change_Frequency
P001,Renovation of a School Project 001,Renovation,Texas,21/07/2024,08/08/2024,Behind,Medium,9621,5.0,5
P001,Renovation of a School Project 001,Renovation,New Jersey,21/07/2024,12/08/2024,Behind,High,7814,6.18,5
P001,Renovation of a School Project 001,Renovation,Ohio,21/07/2024,10/08/2024,Behind,High,1028,3.64,4
P002,Innovation of a Classroom Project 002,Innovation,Pennsylvania,04/06/2024,12/07/2025,On Track,High,1530,0.86,0
P002,Innovation of a Classroom Project 002,Innovation,New York,04/06/2024,26/06/2025,On Track,Medium,7201,2.38,1
P002,Innovation of a Classroom Project 002,Innovation,California,04/06/2024,25/03/2025,On Track,Low,9814,2.41,1
P003,Construction of a Hospital Wing Project 003,Construction,Pennsylvania,20/07/2024,22/08/2024,Completed,Low,7981,0.32,0
P003,Construction of a Hospital Wing Project 003,Construction,Virginia,20/07/2024,25/09/2024,Completed,Medium,1032,0.65,1
P003,Construction of a Hospital Wing Project 003,Construction,Ohio,20/07/2024,22/08/2024,Completed,Medium,8546,1.13,1
P004,Road Expansion Project 004,Infrastructure,Pennsylvania,25/04/2024,06/05/2024,Completed,Medium,3728,0.99,0
P004,Road Expansion Project 004,Infrastructure,Texas,25/04/2024,05/05/2024,Completed,High,9707,1.14,0
P004,Road Expansion Project 004,Infrastructure,Texas,25/04/2024,10/05/2024,Completed,Medium,5712,1.76,1
P005,Bridge Maintenance Project 005,Maintenance,Michigan,30/06/2024,31/07/2025,Behind,Medium,3453,5.99,4
P005,Bridge Maintenance Project 005,Maintenance,California,30/06/2024,02/08/2024,Behind,Medium,2896,6.71,4
P005,Bridge Maintenance Project 005,Maintenance,Virginia,30/06/2024,30/06/2025,Behind,High,6463,6.9,2
P006,Office Building Renovation Project 006,Renovation,Michigan,09/08/2024,11/09/2024,Behind,Low,3206,6.46,2
P006,Office Building Renovation Project 006,Renovation,North Carolina,09/08/2024,11/09/2024,Behind,Medium,6477,5.29,3
P006,Office Building Renovation Project 006,Renovation,Pennsylvania,09/08/2024,20/02/2025,Behind,High,8634,3.98,4
P007,Apartment Complex Development Project 007,Other,California,06/08/2024,17/11/2024,On Track,High,2552,0.35,1
P007,Apartment Complex Development Project 007,Other,Florida,06/08/2024,29/11/2024,On Track,Medium,4699,2.04,1
P007,Apartment Complex Development Project 007,Other,Pennsylvania,06/08/2024,17/11/2024,On Track,Low,1720,2.01,1
P008,Commercial Center Construction Project 008,Construction,Illinois,17/04/2024,13/09/2024,On Track,Medium,9458,1.6,1
P008,Commercial Center Construction Project 008,Construction,Washington,17/04/2024,05/11/2024,On Track,Low,4735,2.48,0
P008,Commercial Center Construction Project 008,Construction,Georgia,17/04/2024,19/10/2024,On Track,High,9460,0.17,0
P009,Highway Reconstruction Project 009,Other,Texas,27/04/2024,28/04/2025,On Hold,High,6385,1.24,2
P009,Highway Reconstruction Project 009,Other,Virginia,27/04/2024,01/06/2025,On Hold,Medium,7980,1.66,0
P009,Highway Reconstruction Project 009,Other,Ohio,27/04/2024,26/05/2025,On Hold,Low,1106,3.67,0
P010,Airport Expansion Project 010,Other,New Jersey,14/02/2024,15/06/2024,On Track,High,1577,2.39,0
P010,Airport Expansion Project 010,Other,Ohio,14/02/2024,08/06/2024,On Track,High,3110,0.13,1
P010,Airport Expansion Project 010,Other,Ohio,14/02/2024,26/05/2024,On Track,Low,3432,0.31,0
P011,Shopping Mall Renovation Project 011,Renovation,Texas,08/05/2024,28/07/2024,Completed,High,3544,2.47,0
P011,Shopping Mall Renovation Project 011,Renovation,Georgia,08/05/2024,19/08/2024,Completed,High,7808,2.25,0
P011,Shopping Mall Renovation Project 011,Renovation,Florida,08/05/2024,01/08/2024,Completed,High,1776,0.37,1
P012,University Dormitory Construction Project 012,Construction,Georgia,27/01/2024,29/02/2024,Completed,High,1815,1.47,1
P012,University Dormitory Construction Project 012,Construction,Ohio,27/01/2024,29/02/2024,Completed,High,8915,2.26,1
P012,University Dormitory Construction Project 012,Construction,New York,27/01/2024,27/06/2025,Completed,Medium,9242,1.81,1
P013,Sports Stadium Upgrade Project 013,Other,Florida,09/02/2024,24/08/2024,On Hold,Medium,9559,3.45,0
P013,Sports Stadium Upgrade Project 013,Other,Michigan,09/02/2024,06/07/2024,On Hold,Medium,4795,3.46,1
P013,Sports Stadium Upgrade Project 013,Other,California,09/02/2024,28/07/2024,On Hold,Medium,5258,3.89,2
P014,Public Library Renovation Project 014,Renovation,Ohio,30/07/2024,20/12/2024,Behind,Low,8531,4.16,2
P014,Public Library Renovation Project 014,Renovation,Ohio,30/07/2024,30/01/2025,Behind,Low,3564,7.25,5
